permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
83642,20121231,2012,3,6020,0.0229682196,0.0228682196,11.319999695,185.04803501,183.90375,0.7812932455
83659,20121231,2012,3,1070,0.0249126591,0.0248126591,4.0100002289,212.23327211,314.90968991,0.2313819283
83661,20121231,2012,1,4011,0.0429061688,0.0428061688,72.949996948,3280.1236628,2141.1824862,0.5130202591
83671,20121231,2012,1,7363,0.1052631587,0.1051631587,14.25,572.37975,625.36102151,0.5275540521
83683,20121231,2012,3,6030,0.0971786976,0.0970786976,15.949999809,170.52144796,125.1696771,1.3608157563
83699,20121231,2012,1,3341,-0.002105933,-0.002205933,16.620000839,2909.5305869,1981.2858735,0.4929128169
83704,20121231,2012,3,7372,-0.116583399,-0.116683399,1.2000000477,17.661600702,13.982099825,0.6476980758
83720,20121231,2012,1,6311,0.0321900509,0.0320900509,33.240001678,817.60432129,742.34903607,1.383598754
83756,20121231,2012,3,2830,0,-0.0001,1.4099999666,184.36595564,224.45118501,0.7476551246
83762,20121231,2012,2,2836,-0.67428571,-0.67438571,0.7699999809,116.27846712,37.794099611,1.4354080087
83774,20121231,2012,3,6030,0.0029175756,0.0028175756,13.710000038,246.84855069,261.43815375,0.8880455298
83779,20121231,2012,3,7372,0.1150442511,0.1149442511,20.340000153,770.64192578,1249.6121827,0.1882834193
83799,20121231,2012,3,8220,0.0733803958,0.0732803958,52.330001831,621.31411174,1294.5034401,0.0369028093
83808,20121231,2012,3,7370,0.0148321288,0.0147321288,12.81000042,34.932871144,26.938973325,1.1717948024
83815,20121231,2012,3,6030,-0.004301037,-0.004401037,13.949999809,496.71764321,469.73504865,0.8161295165
83822,20121231,2012,1,2339,0.0027058388,0.0026058388,25.870000839,2202.8564415,2732.4193455,0.3812882761
83831,20121231,2012,2,6712,0.0877777785,0.0876777785,9,22.932,24.995000362,1.3260661869
83832,20121231,2012,1,3931,-0.072368406,-0.072468406,22.799999237,284.06519049,303.1385,0.7595874162
83834,20121231,2012,1,1389,0.0656063408,0.0655063408,5.0300002098,246.9579203,316.63044187,1.3113783841
83844,20121231,2012,3,7370,0.0865671933,0.0864671933,6.6999998093,149.79189574,143.57699575,0.8821057395
83856,20121231,2012,1,7261,0.068406865,0.068306865,11.109999657,201.21320378,151.88159443,1.2272417714
83862,20121231,2012,3,6211,0.0629453361,0.0628453361,8.4200000763,2408.5999618,2297.3576291,2.1694415387
83875,20121231,2012,3,8742,-0.06249994,-0.06259994,2.5599999428,17.776639603,34.511678543,1.1135636082
83879,20121231,2012,3,7310,-0.013241672,-0.013341672,39.270000458,3092.473266,2243.4126299,0.4345750619
83883,20121231,2012,3,8099,0.045631092,0.045531092,10.300000191,585.99791085,420.0476103,0.7496764435
83885,20121231,2012,3,3827,-0.25390625,-0.25400625,2.5599999428,64.204798565,40.076120356,0.2203264284
83896,20121231,2012,3,3841,-0.345638275,-0.345738275,0.9399999976,10.326839974,24.04907987,0.3118272911
83903,20121231,2012,3,6020,0.0825688019,0.0824688019,3.2699999809,281.46524836,230.37012574,1.4921919486
83906,20121231,2012,3,4950,-0.002032764,-0.002132764,93.470001221,8028.1384048,7835.8597735,0.2290925393
83910,20121231,2012,3,3577,-0.061118368,-0.061218368,7.6900000572,67.356710501,67.955940336,0.5180031346
83916,20121231,2012,3,7380,0.0458283648,0.0457283648,17.020000458,914.22932459,872.88,0.5037348631
83928,20121231,2012,3,3550,0.0311288871,0.0310288871,87.699996948,2729.750105,1828.0984737,0.4920094896
83934,20121231,2012,3,6020,-0.021022407,-0.021122407,7.1399998665,65.79509877,47.510958426,3.5396651865
