PERMNO,date,TICKER,COMNAM,RET,RETX
11308,2021-07-30,KO,COCA COLA CO,0.053964,0.053964
11308,2021-08-31,KO,COCA COLA CO,-0.012625,-0.012625
11308,2021-09-30,KO,COCA COLA CO,-0.060735,-0.068194
11308,2021-10-29,KO,COCA COLA CO,0.074328,0.074328
11308,2021-11-30,KO,COCA COLA CO,-0.062090,-0.069541
11308,2021-12-31,KO,COCA COLA CO,0.128885,0.128885
11308,2022-01-31,KO,COCA COLA CO,0.030400,0.030400
11308,2022-02-28,KO,COCA COLA CO,0.020161,0.020161
11308,2022-03-31,KO,COCA COLA CO,0.003213,-0.003856
11308,2022-04-29,KO,COCA COLA CO,0.042097,0.042097
11308,2022-05-31,KO,COCA COLA CO,-0.019037,-0.019037
11308,2022-06-30,KO,COCA COLA CO,-0.000473,-0.007416
11308,2022-07-29,KO,COCA COLA CO,0.020029,0.020029
11308,2022-08-31,KO,COCA COLA CO,-0.038336,-0.038336
11308,2022-09-30,KO,COCA COLA CO,-0.085075,-0.092205
11308,2022-10-31,KO,COCA COLA CO,0.068368,0.068368
11308,2022-11-30,KO,COCA COLA CO,0.070175,0.062824
11308,2022-12-30,KO,COCA COLA CO,0.000000,0.000000
11308,2023-01-31,KO,COCA COLA CO,-0.036001,-0.036001
11308,2023-02-28,KO,COCA COLA CO,-0.029517,-0.029517
11308,2023-03-31,KO,COCA COLA CO,0.050076,0.042346
11308,2023-04-28,KO,COCA COLA CO,0.034177,0.034177
11308,2023-05-31,KO,COCA COLA CO,-0.069992,-0.069992
11308,2023-06-30,KO,COCA COLA CO,0.017097,0.009387
11308,2023-07-31,KO,COCA COLA CO,0.028396,0.028396
11308,2023-08-31,KO,COCA COLA CO,-0.033909,-0.033909
11308,2023-09-29,KO,COCA COLA CO,-0.056661,-0.064349
11308,2023-10-31,KO,COCA COLA CO,0.009110,0.009110
11308,2023-11-30,KO,COCA COLA CO,0.042662,0.034519
11308,2023-12-29,KO,COCA COLA CO,0.008385,0.008385
14542,2019-01-31,GOOG,ALPHABET INC,0.077983,0.077983
14542,2019-02-28,GOOG,ALPHABET INC,0.003180,0.003180
14542,2019-03-29,GOOG,ALPHABET INC,0.047673,0.047673
14542,2019-04-30,GOOG,ALPHABET INC,0.012929,0.012929
14542,2019-05-31,GOOG,ALPHABET INC,-0.071394,-0.071394
14542,2019-06-28,GOOG,ALPHABET INC,-0.020587,-0.020587
14542,2019-07-31,GOOG,ALPHABET INC,0.125607,0.125607
14542,2019-08-30,GOOG,ALPHABET INC,-0.023490,-0.023490
14542,2019-09-30,GOOG,ALPHABET INC,0.026008,0.026008
14542,2019-10-31,GOOG,ALPHABET INC,0.033724,0.033724
14542,2019-11-29,GOOG,ALPHABET INC,0.035592,0.035592
14542,2019-12-31,GOOG,ALPHABET INC,0.024568,0.024568
14542,2020-01-31,GOOG,ALPHABET INC,0.072706,0.072706
14542,2020-02-28,GOOG,ALPHABET INC,-0.066168,-0.066168
14542,2020-03-31,GOOG,ALPHABET INC,-0.131797,-0.131797
14542,2020-04-30,GOOG,ALPHABET INC,0.159828,0.159828
14542,2020-05-29,GOOG,ALPHABET INC,0.059511,0.059511
14542,2020-06-30,GOOG,ALPHABET INC,-0.010714,-0.010714
14542,2020-07-31,GOOG,ALPHABET INC,0.049059,0.049059
14542,2020-08-31,GOOG,ALPHABET INC,0.101972,0.101972
14542,2020-09-30,GOOG,ALPHABET INC,-0.100711,-0.100711
14542,2020-10-30,GOOG,ALPHABET INC,0.103028,0.103028
14542,2020-11-30,GOOG,ALPHABET INC,0.086199,0.086199
14542,2020-12-31,GOOG,ALPHABET INC,-0.005032,-0.005032
14542,2021-01-29,GOOG,ALPHABET INC,0.047869,0.047869
14542,2021-02-26,GOOG,ALPHABET INC,0.109558,0.109558
14542,2021-03-31,GOOG,ALPHABET INC,0.015597,0.015597
14542,2021-04-30,GOOG,ALPHABET INC,0.165080,0.165080
14542,2021-05-28,GOOG,ALPHABET INC,0.000597,0.000597
14542,2021-06-30,GOOG,ALPHABET INC,0.039294,0.039294
14542,2021-07-30,GOOG,ALPHABET INC,0.079040,0.079040
14542,2021-08-31,GOOG,ALPHABET INC,0.075735,0.075735
14542,2021-09-30,GOOG,ALPHABET INC,-0.083847,-0.083847
14542,2021-10-29,GOOG,ALPHABET INC,0.112595,0.112595
14542,2021-11-30,GOOG,ALPHABET INC,-0.039242,-0.039242
14542,2021-12-31,GOOG,ALPHABET INC,0.015637,0.015637
14542,2022-01-31,GOOG,ALPHABET INC,-0.062075,-0.062075
14542,2022-02-28,GOOG,ALPHABET INC,-0.005951,-0.005951
